Original_Index,SA2,Price,Z-Score,SA2_Mean,SA2_Std,Deviation_From_Mean,Address,Suburb,Bedrooms,Bathrooms,Floor_Area,Land_Area
1030,Riverton - Shelley - Rossmoyne,1895000,2.8473898783575713,802721.9448621554,383606.77736478136,1092278.0551378448,10 Etna Place,Rossmoyne,4,2,357,999
11984,Warnbro,900000,2.847033974065112,415480.118,170184.08856856127,484519.882,21 Third Avenue,Shoalwater,4,2,280,850
4966,South Perth - Kensington,2000000,2.8457771734812507,997348.3917525773,352329.6263638502,1002651.6082474227,133A Hensman Street,South Perth,3,2,391,569
2577,Wanneroo - Sinagra,170000,-2.8448823186818544,518958.41985723557,122661.81190191435,-348958.41985723557,11 Nolyang Crescent,Wanneroo,3,1,124,709
2433,Wembley - West Leederville - Glendalough,2300000,2.844532228386038,1164374.875834446,399230.8868336842,1135625.124165554,11 Kilkenny Road,Floreat,4,3,292,809
13318,Karnup,1700000,2.841137665421624,668196.9545454546,363165.4523510835,1031803.0454545454,236 Fletcher Road,Karnup,4,2,223,36502
5184,Singleton - Golden Bay - Secret Harbour,850000,2.840157012354415,461583.0091324201,136758.98521736744,388416.9908675799,14 Bancoura Parkway,Secret Harbour,4,2,270,735
19734,Leeming,1235000,2.8387883128566216,756477.8947368421,168565.61762494707,478522.10526315786,37 Curedale Mews,Bull Creek,5,4,384,710
33233,Lesmurdie - Bickley - Carmel,1425000,2.8372596971947086,561552.7089072544,304324.37747819285,863447.2910927456,92 Lascelles Parade,Gooseberry Hill,5,3,406,4408
3377,Stirling - Osborne Park,1450000,2.834475722645397,729540.3379629629,254177.39735115352,720459.6620370371,12 Blancoa Lane,Stirling,4,3,329,448
20863,Piara Waters - Forrestdale,1125000,2.834253828728454,469187.012718601,231388.23369804525,655812.9872813991,4 Glencoe Place,Bedfordale,5,2,390,5129
28199,Yokine - Coolbinia - Menora,2200000,2.833869299558535,963742.2349823321,436243.74815389485,1236257.7650176678,65 Holmfirth Street,Menora,5,3,370,1138
24898,Yokine - Coolbinia - Menora,2200000,2.833869299558535,963742.2349823321,436243.74815389485,1236257.7650176678,50 Clotilde Street,Mount Lawley,5,2,341,860
5866,Mindarie - Quinns Rocks - Jindalee,1010000,2.8312042319354833,469936.92954363493,190753.83695903997,540063.0704563651,142 Ocean Drive,Quinns Rocks,3,3,209,910
29072,Trigg - North Beach - Watermans Bay,2150000,2.826125348870557,1050076.9719887956,389198.24573626276,1099923.0280112044,7 Hawkins Avenue,Sorrento,4,2,340,1316
912,Dianella - North,100000,-2.824469606033346,368904.97202797205,95205.4755532028,-268904.97202797205,10 Chenile Mews,Mirrabooka,4,1,104,684
21361,Lesmurdie - Bickley - Carmel,1420000,2.8208298599222794,561552.7089072544,304324.37747819285,858447.2910927456,4 Summerfield Place,Gooseberry Hill,4,2,288,10700
7496,Ocean Reef,1150000,2.820529840479938,606561.259977195,192672.57244487587,543438.740022805,16 Sottogrande View,Connolly,4,2,296,894
10132,Ocean Reef,1150000,2.820529840479938,606561.259977195,192672.57244487587,543438.740022805,2 Arne Court,Ocean Reef,5,2,400,811
12018,Ocean Reef,1150000,2.820529840479938,606561.259977195,192672.57244487587,543438.740022805,21 Wentletrap Way,Mullaloo,5,3,398,706
4986,Serpentine - Jarrahdale,1400000,2.818660206823532,598935.1359516616,284200.57944873476,801064.8640483384,134 River Road,Hopeland,4,1,160,205518
19516,Booragoon,2300000,2.8179467294094,1058596.3783783785,440534.80808056344,1241403.6216216215,36 Kintail Road,Applecross,4,3,141,1026
22608,Mundijong,1450000,2.815608961633172,603505.5764023211,300643.46119522094,846494.4235976789,44 Baigup Loop,Cardup,5,2,279,22612
29907,Lockridge - Kiara,850000,2.81452862798348,448533.7236641221,142640.6796307898,401466.2763358779,72 Hardy Road,Ashfield,4,2,340,618
17541,Wembley Downs - Churchlands - Woodlands,1926000,2.8135580003092553,966601.5,340991.1933198273,959398.5,30 Queenscliffe Road,Doubleview,3,3,359,691
27088,Swanbourne - Mount Claremont,240000,-2.8113446985600987,1397122.479876161,411590.39674815064,-1157122.479876161,6 Mitford Street,Swanbourne,3,1,136,635
33432,Belmont - Ascot - Redcliffe,1250000,2.8109442578429102,591958.7529069767,234099.71409322694,658041.2470930233,96 Matheson Road,Ascot,4,3,204,2314
577,Belmont - Ascot - Redcliffe,1250000,2.8109442578429102,591958.7529069767,234099.71409322694,658041.2470930233,1 Waterway Crescent,Ascot,4,2,322,556
12381,Wembley Downs - Churchlands - Woodlands,1925000,2.810625373251459,966601.5,340991.1933198273,958398.5,22 Hamer Avenue,Wembley Downs,4,2,271,735
1053,Greenwood - Warwick,852500,2.805548221862875,547268.4779116466,108795.67840244807,305231.5220883534,10 Flannan Place,Warwick,5,3,401,734
33221,Ellenbrook,1315000,2.8052289674522286,556913.86875,270240.3761139365,758086.13125,92 Copley Road,Upper Swan,5,2,323,40029
15613,Casuarina - Wandi,910000,2.805026759683226,377879.49912587414,189702.4686260814,532120.5008741259,28 Surflin Court,Casuarina,5,2,262,8001
27323,Casuarina - Wandi,910000,2.805026759683226,377879.49912587414,189702.4686260814,532120.5008741259,6 Surflin Court,Casuarina,4,2,284,8002
5837,Wanneroo - Sinagra,175000,-2.804119835864478,518958.41985723557,122661.81190191435,-343958.41985723557,141 Nannatee Way,Wanneroo,3,1,99,716
15042,Murdoch - Kardinya,1165000,2.8031239851562844,589506.6455399061,205304.28104770687,575493.3544600939,27 Heirisson Way,North Coogee,4,3,310,395
17650,Trigg - North Beach - Watermans Bay,2140000,2.80043150232949,1050076.9719887956,389198.24573626276,1089923.0280112044,303 West Coast Drive,Trigg,4,2,268,583
18396,Trigg - North Beach - Watermans Bay,2140000,2.80043150232949,1050076.9719887956,389198.24573626276,1089923.0280112044,327 West Coast Drive,Trigg,4,3,249,508
20909,Jandakot,1040000,2.7990641378994723,564175.6062992126,169994.101692098,475824.39370078745,4 Hebble Loop,Banjup,4,3,216,19999
21056,Thornlie,645000,2.7968379828202807,405826.7326732673,85515.59611098914,239173.2673267327,4 Lily Place,Thornlie,4,2,259,843
32605,Forrestfield - Wattle Grove,875000,2.793955295126384,473601.65497630334,143666.70280081895,401398.34502369666,9 Kambalda Way,Kewdale,4,2,272,711
5009,Malmalling - Reservoir,911000,2.78674405214311,506955.1886792453,144988.1308654913,404044.8113207547,135 Leschenaultia Place,Chidlow,6,2,240,35207
29627,Marangaroo,640000,2.7853184194535046,397856.5619834711,86935.63950366538,242143.4380165289,7 Woodroffe Place,Alexander Heights,4,3,282,643
25573,Marangaroo,640000,2.7853184194535046,397856.5619834711,86935.63950366538,242143.4380165289,54 Crabtree Street,Alexander Heights,4,2,249,684
11130,Marangaroo,156000,-2.7820185526244843,397856.5619834711,86935.63950366538,-241856.5619834711,20 Hollingsworth Avenue,Koondoola,3,1,85,703
22739,Maddington - Orange Grove - Martin,1100000,2.781405896692587,462390.1898527005,229240.1159088255,637609.8101472994,44 RUSHTON ROAD,Martin,5,2,345,10463
1617,Maddington - Orange Grove - Martin,1100000,2.781405896692587,462390.1898527005,229240.1159088255,637609.8101472994,100 Reservoir Road,Orange Grove,3,1,70,19763
1930,Maddington - Orange Grove - Martin,1100000,2.781405896692587,462390.1898527005,229240.1159088255,637609.8101472994,108 Station Street,Martin,4,2,272,18440
29644,City Beach,762000,-2.780671186341755,1654765.2692307692,321061.0710161993,-892765.2692307692,7/1 Kilpa Court,City Beach,3,2,125,335
12076,Mindarie - Quinns Rocks - Jindalee,1000000,2.7787806468615575,469936.92954363493,190753.83695903997,530063.0704563651,212 Ocean Drive,Quinns Rocks,4,2,284,878
25922,Casuarina - Wandi,905000,2.778669696244819,377879.49912587414,189702.4686260814,527120.5008741259,56 Marri Park Drive,Casuarina,3,2,212,8749
27565,Jandakot,1036500,2.7784751882526226,564175.6062992126,169994.101692098,472324.39370078745,60 Glen Iris Drive,Jandakot,4,3,400,803
21477,Noranda,875000,2.774976795512914,531253.3333333334,123873.70850181472,343746.6666666666,4 Wilde Street,Embleton,4,3,259,688
5871,Forrestfield - Wattle Grove,75000,-2.7744887799710205,473601.65497630334,143666.70280081895,-398601.65497630334,142 Victoria Road,Kenwick,3,1,109,20230
9972,Jandakot,1035000,2.7696513526896873,564175.6062992126,169994.101692098,470824.39370078745,199 Beenyup Road,Banjup,5,2,251,20600
8720,Piara Waters - Forrestdale,1110000,2.769427714797464,469187.012718601,231388.23369804525,640812.9872813991,18 Chiara Avenue,Harrisdale,4,2,393,682
13735,Wembley - West Leederville - Glendalough,2270000,2.769387741851113,1164374.875834446,399230.8868336842,1105625.124165554,24 Ruislip Street,West Leederville,4,2,329,733
21816,Ballajura,700000,2.768352244881172,420807.3768115942,100851.55301484758,279192.6231884058,409 Summerlakes Parade,Ballajura,5,2,320,856
2246,Willagee,2000000,2.7680528814704,873653.9904761905,406909.1371280054,1126346.0095238094,11 Davidson Road,Attadale,5,3,125,822
24086,Willagee,1999990,2.76802830595934,873653.9904761905,406909.1371280054,1126336.0095238094,5 Doongalla Road,Attadale,3,3,382,720
7157,Singleton - Golden Bay - Secret Harbour,840000,2.7670356742273015,461583.0091324201,136758.98521736744,378416.9908675799,16 Drummonds Approach,Secret Harbour,3,2,288,707
20418,Mundaring,1150000,2.764700560085166,564910.7292418772,211628.44150474624,585089.2707581228,3950 Richardson Road,Parkerville,5,2,275,55616
3115,Mundaring,1150000,2.764700560085166,564910.7292418772,211628.44150474624,585089.2707581228,115 Tomallan Close,Parkerville,4,3,328,20232
19287,Dianella - South,1300000,2.7620949804913524,678584.4594594594,224979.78705641621,621415.5405405406,35 Shaw Road,Dianella,4,3,313,759
7874,Forrestfield - Wattle Grove,870000,2.7591525196570257,473601.65497630334,143666.70280081895,396398.34502369666,17 Belmont Road,Kenwick,4,1,155,7724
6878,Forrestfield - Wattle Grove,870000,2.7591525196570257,473601.65497630334,143666.70280081895,396398.34502369666,157 Gibbs Street,East Cannington,4,2,180,1969
5625,Canning Vale - East,980000,2.7575047175777954,623297.5852534563,129356.95539258143,356702.41474654374,14 Repton Loop,Canning Vale,5,2,326,661
12142,Kalamunda - Maida Vale - Gooseberry Hill,1050000,2.75728035420844,479757.75092421443,206813.29999882824,570242.2490757855,219 Lefroy Avenue,Herne Hill,1,2,297,19424
15259,Kalamunda - Maida Vale - Gooseberry Hill,1050000,2.75728035420844,479757.75092421443,206813.29999882824,570242.2490757855,271 Toodyay Road,Middle Swan,4,2,252,44783
6809,Kalamunda - Maida Vale - Gooseberry Hill,1050000,2.75728035420844,479757.75092421443,206813.29999882824,570242.2490757855,153 Haddrill Road,Baskerville,2,1,120,62002
20139,Kalamunda - Maida Vale - Gooseberry Hill,1050000,2.75728035420844,479757.75092421443,206813.29999882824,570242.2490757855,38 Vine Street,Herne Hill,4,2,231,30381
18586,Kalamunda - Maida Vale - Gooseberry Hill,1050000,2.75728035420844,479757.75092421443,206813.29999882824,570242.2490757855,33 Montreal Road,Woodbridge,3,1,172,1308
28188,Kalamunda - Maida Vale - Gooseberry Hill,1050000,2.75728035420844,479757.75092421443,206813.29999882824,570242.2490757855,65 Drummond Gardens,Helena Valley,7,2,448,639
29888,Kalamunda - Maida Vale - Gooseberry Hill,1050000,2.75728035420844,479757.75092421443,206813.29999882824,570242.2490757855,72 BISDEE ROAD,Millendon,6,4,81,32375
30045,Kalamunda - Maida Vale - Gooseberry Hill,1050000,2.75728035420844,479757.75092421443,206813.29999882824,570242.2490757855,74 Clayton Street,Bellevue,4,2,40,1814
268,Lesmurdie - Bickley - Carmel,1400000,2.755110510832563,561552.7089072544,304324.37747819285,838447.2910927456,1 Jaraba Avenue,Gooseberry Hill,3,2,189,2819
18698,Lesmurdie - Bickley - Carmel,1400000,2.755110510832563,561552.7089072544,304324.37747819285,838447.2910927456,331 Aldersyde Road,Bickley,4,2,318,64872
1706,Forrestfield - Wattle Grove,78000,-2.753607114689405,473601.65497630334,143666.70280081895,-395601.65497630334,102 Park Road,Kenwick,3,1,137,692
13957,Mindarie - Quinns Rocks - Jindalee,995000,2.7525688543245943,469936.92954363493,190753.83695903997,525063.0704563651,25 Belize Way,Mindarie,6,3,319,898
205,Casuarina - Wandi,900000,2.752312632806412,377879.49912587414,189702.4686260814,522120.50087412586,1 Goldsmith Drive,Wellard,4,2,346,2929
12062,Casuarina - Wandi,900000,2.752312632806412,377879.49912587414,189702.4686260814,522120.50087412586,210 Rowley Road,Wandi,4,2,167,20007
16320,Wembley Downs - Churchlands - Woodlands,1905000,2.7519728320955315,966601.5,340991.1933198273,938398.5,3 Bishop Riley Way,Churchlands,5,3,452,775
1946,Bentley - Wilson - St James,960000,2.750386761591516,553619.3671641791,147753.9953692433,406380.6328358209,109 Devenish Street,East Victoria Park,3,1,244,753
12111,Ellenbrook,1300000,2.7497228280081516,556913.86875,270240.3761139365,743086.13125,216 Copley Road,Upper Swan,2,2,343,53125
3773,Fremantle - South,1675000,2.7490966069281266,868886.4134615385,293228.5407893404,806113.5865384615,12 Mclaren Street,South Fremantle,4,3,215,627
19307,Yanchep,725000,2.7445426336332877,398192.3728813559,119075.44197482869,326807.6271186441,35 Trumpeter Parade,Yanchep,4,2,255,702
25437,Lockridge - Kiara,840000,2.7444224000414654,448533.7236641221,142640.6796307898,391466.2763358779,53 Hardy Road,Ashfield,3,3,203,870
29155,Padbury,1575000,2.741470128352352,723002.7368421053,310781.15874636674,851997.2631578947,7 Kinch Lane,Hillarys,4,2,362,711
