Original_Index,SA2,Price,Z-Score,SA2_Mean,SA2_Std,Deviation_From_Mean,Address,Suburb,Bedrooms,Bathrooms,Floor_Area,Land_Area
16629,Jandakot,1228000,3.904984861787382,564175.6062992126,169994.101692098,663824.3937007874,3 Harper Road,Banjup,5,2,251,20004
19046,Warnbro,1080000,3.9047121713278616,415480.118,170184.08856856127,664519.882,344 Safety Bay Road,Safety Bay,4,3,295,697
26152,Ellenbrook,1610000,3.896849709852412,556913.86875,270240.3761139365,1053086.13125,58 Boulonnais Drive,Brigadoon,5,2,282,46772
23199,Jandakot,1225000,3.887337190661511,564175.6062992126,169994.101692098,660824.3937007874,469 Beenyup Road,Banjup,5,2,279,20234
31248,Wembley Downs - Churchlands - Woodlands,2291250,3.884700033169381,966601.5,340991.1933198273,1324648.5,8 Porlock Way,Karrinyup,5,5,495,910
25703,Jandakot,1220000,3.8579244054517265,564175.6062992126,169994.101692098,655824.3937007874,55 Boeing Way,Jandakot,4,2,200,23000
24949,Kalamunda - Maida Vale - Gooseberry Hill,1277000,3.854888680178221,479757.75092421443,206813.29999882824,797242.2490757855,50 Loton Road,Millendon,4,2,212,19025
5826,Kalamunda - Maida Vale - Gooseberry Hill,1275000,3.8452181222401616,479757.75092421443,206813.29999882824,795242.2490757855,140 William Street,Herne Hill,4,2,260,51251
19857,Kalamunda - Maida Vale - Gooseberry Hill,1275000,3.8452181222401616,479757.75092421443,206813.29999882824,795242.2490757855,37 Rhodes Place,Maida Vale,6,2,270,10109
27939,Bicton - Palmyra,2300000,3.8406721146251663,870817.5889570552,372117.7878217357,1429182.4110429448,63 Beach Street,Bicton,5,3,404,1011
21324,Lesmurdie - Bickley - Carmel,1730000,3.839479770812884,561552.7089072544,304324.37747819285,1168447.2910927455,4 Sing Gardens,Walliston,4,2,288,12080
21948,Jandakot,1215000,3.8285116202419416,564175.6062992126,169994.101692098,650824.3937007874,41 Hausen Court,Banjup,4,2,231,20033
15493,Mindarie - Quinns Rocks - Jindalee,1200000,3.827252348340073,469936.92954363493,190753.83695903997,730063.0704563651,28 Kinsale Drive,Mindarie,5,4,449,888
8859,Victoria Park - Lathlain - Burswood,1765000,3.8268032510658125,767549.3827160494,260648.52354406987,997450.6172839506,18 Keyes Street,Lathlain,5,3,370,764
12234,Beckenham - Kenwick - Langford,85000,-3.8248147106632158,436725.31955922866,91958.78654687566,-351725.31955922866,22 Belvedaire Way,Lynwood,3,2,299,706
23586,Melville,1730000,3.8214045827505068,806980.2200647249,241539.4025803254,923019.7799352751,48B Davy Street,Alfred Cove,4,2,281,466
22442,Piara Waters - Forrestdale,1350000,3.806645537693303,469187.012718601,231388.23369804525,880812.9872813991,43 Freeman Road,Forrestdale,4,2,225,48280
33341,Casuarina - Wandi,1100000,3.8065951703426837,377879.49912587414,189702.4686260814,722120.5008741259,94 Scovell Crescent,Anketell,4,3,644,20493
12093,Casuarina - Wandi,1100000,3.8065951703426837,377879.49912587414,189702.4686260814,722120.5008741259,214 Marri Park Drive,Casuarina,4,2,301,11507
24051,Wanneroo - Sinagra,985000,3.7994023805504464,518958.41985723557,122661.81190191435,466041.58014276443,5 Cyclamen Court,Wanneroo,4,2,207,410
19940,Jandakot,1210000,3.7990988350321566,564175.6062992126,169994.101692098,645824.3937007874,378 Liddelow Road,Banjup,5,2,250,20212
30722,Riverton - Shelley - Rossmoyne,2245000,3.7597825175188344,802721.9448621554,383606.77736478136,1442278.0551378448,8 Central Road,Rossmoyne,5,3,432,980
1074,Jandakot,1200000,3.740273264612587,564175.6062992126,169994.101692098,635824.3937007874,10 Glen Iris Drive,Jandakot,5,2,307,1066
4982,Jandakot,1200000,3.740273264612587,564175.6062992126,169994.101692098,635824.3937007874,134 Merrit Loop,Jandakot,6,3,288,20009
12719,Jandakot,1200000,3.740273264612587,564175.6062992126,169994.101692098,635824.3937007874,223 Fraser Road,Jandakot,5,2,395,20089
12099,Jandakot,1200000,3.740273264612587,564175.6062992126,169994.101692098,635824.3937007874,215 Jandakot Road,Jandakot,4,1,260,23512
29950,North Perth,1675000,3.734771922727584,849586.6666666666,221007.69482344086,825413.3333333334,72A Albert Street,North Perth,3,2,255,386
27888,Serpentine - Jarrahdale,1660000,3.733507039663646,598935.1359516616,284200.57944873476,1061064.8640483385,62 Rowe Road,Serpentine,6,3,490,161874
12722,Piara Waters - Forrestdale,1333000,3.7331759419048476,469187.012718601,231388.23369804525,863812.9872813991,223 Oxley Road,Forrestdale,4,2,307,29527
4616,Warnbro,1050000,3.72843247178407,415480.118,170184.08856856127,634519.882,13 La Seyne Crescent,Warnbro,5,3,312,2308
24328,Warnbro,1050000,3.72843247178407,415480.118,170184.08856856127,634519.882,5 La Seyne Crescent,Warnbro,5,3,228,2606
25387,Lockridge - Kiara,980000,3.7259095912296667,448533.7236641221,142640.6796307898,531466.2763358778,53 Ashfield Parade,Ashfield,4,2,275,1140
6845,Kalamunda - Maida Vale - Gooseberry Hill,1250000,3.7243361480144146,479757.75092421443,206813.29999882824,770242.2490757855,155 Moore Road,Millendon,4,2,210,20095
9097,Wanneroo - Sinagra,975000,3.717877414915694,518958.41985723557,122661.81190191435,456041.58014276443,18 Tyne Crescent,Wanneroo,4,2,280,601
7651,Bayswater - Embleton - Bedford,1555000,3.7149684435838872,706717.0234899329,228341.9063693891,848282.9765100671,161 Tenth Avenue,Inglewood,5,3,291,731
13018,Ocean Reef,1321500,3.710640964361188,606561.259977195,192672.57244487587,714938.740022805,23 Iluka Avenue,Mullaloo,3,3,346,438
23831,Beechboro,970000,3.7098231803824753,458435.7044025157,137894.5223865745,511564.2955974843,5 Alstonia Way,Bennett Springs,5,3,328,568
11014,Marangaroo,720000,3.705539406573833,397856.5619834711,86935.63950366538,322143.4380165289,20 Capstone Way,Marangaroo,5,2,271,754
27381,Piara Waters - Forrestdale,1325000,3.6986020144749863,469187.012718601,231388.23369804525,855812.9872813991,6 Twelfth Road,Haynes,3,2,146,6753
15578,South Perth - Kensington,2300000,3.697252546404305,997348.3917525773,352329.6263638502,1302651.6082474226,28 Ridge Street,South Perth,4,3,247,1014
26298,Maylands,1965000,3.6953289452414055,739668.9230769231,331589.17516692943,1225331.076923077,59 Clarkson Road,Maylands,4,3,468,684
32431,Fremantle - South,1950000,3.686931645972174,868886.4134615385,293228.5407893404,1081113.5865384615,9 Daly Street,South Fremantle,4,2,382,722
33188,Kalamunda - Maida Vale - Gooseberry Hill,1240000,3.6759833583241157,479757.75092421443,206813.29999882824,760242.2490757855,91 Stock Road,Herne Hill,4,2,220,85409
9636,Casuarina - Wandi,1075000,3.6748098531506495,377879.49912587414,189702.4686260814,697120.5008741259,19 Lill Place,Anketell,4,2,402,22275
1392,Belmont - Ascot - Redcliffe,1450000,3.6652810551973607,591958.7529069767,234099.71409322694,858041.2470930233,10 Samphire Street,Ascot,5,3,392,528
8105,Forrestfield - Wattle Grove,1000000,3.664024681860354,473601.65497630334,143666.70280081895,526398.3450236967,17 Jack Road,Wattle Grove,5,2,370,2034
26762,Beckenham - Kenwick - Langford,100000,-3.66169816070359,436725.31955922866,91958.78654687566,-336725.31955922866,6 Duncan Close,Parkwood,4,2,141,680
25817,Jandakot,1185000,3.6520349089832327,564175.6062992126,169994.101692098,620824.3937007874,55 Wolfe Road,Banjup,3,2,246,20515
6006,Toodyay,1600000,3.6461630334542763,792695.4022988506,221412.0954806376,807304.5977011494,1498 Toodyay Road,Gidgegannup,6,4,321,57060
19922,Kalamunda - Maida Vale - Gooseberry Hill,1230000,3.6276305686338173,479757.75092421443,206813.29999882824,750242.2490757855,371 Lennard Street,Herne Hill,4,1,156,8099
30286,Jandakot,1180000,3.6226221237734477,564175.6062992126,169994.101692098,615824.3937007874,77 Boronia Road,Banjup,3,2,257,22367
8545,Casuarina - Wandi,1065000,3.622095726273836,377879.49912587414,189702.4686260814,687120.5008741259,177 Robinson Road,Wandi,4,2,208,21543
19967,Wembley Downs - Churchlands - Woodlands,2200000,3.617097814145462,966601.5,340991.1933198273,1233398.5,38 Alumni Terrace,Churchlands,4,2,373,450
33456,Perth Airport,1600000,3.606070952158709,576291.5412262157,283884.7244979913,1023708.4587737843,9670 West Swan Road,Henley Brook,4,2,250,62726
14763,Perth Airport,1600000,3.606070952158709,576291.5412262157,283884.7244979913,1023708.4587737843,26 Victoria Street,Guildford,3,2,233,1763
27751,Ocean Reef,1300000,3.5990526893556667,606561.259977195,192672.57244487587,693438.740022805,61 Pine Valley Pass,Connolly,4,2,42,701
11144,Ocean Reef,1300000,3.5990526893556667,606561.259977195,192672.57244487587,693438.740022805,20 Inverness Edge,Connolly,6,4,686,1064
13880,Mundaring,1325000,3.591621548378109,564910.7292418772,211628.44150474624,760089.2707581228,2450 Thomas Road,Mahogany Creek,4,2,498,12004
1902,Piara Waters - Forrestdale,1300000,3.5905584912566697,469187.012718601,231388.23369804525,830812.9872813991,107 Twelfth Road,Haynes,4,2,330,27140
9755,Marangaroo,710000,3.590511783183792,397856.5619834711,86935.63950366538,312143.4380165289,19 Russon Court,Alexander Heights,5,2,268,816
29309,Victoria Park - Lathlain - Burswood,1700000,3.5774252798569712,767549.3827160494,260648.52354406987,932450.6172839506,7 Oldfield Street,Burswood,4,1,255,333
5222,Victoria Park - Lathlain - Burswood,1700000,3.5774252798569712,767549.3827160494,260648.52354406987,932450.6172839506,14 Bow River Crescent,Burswood,4,2,258,391
21671,Lesmurdie - Bickley - Carmel,1650000,3.5766023744540183,561552.7089072544,304324.37747819285,1088447.2910927455,40 Francais Road,Pickering Brook,4,3,343,35340
30046,Lesmurdie - Bickley - Carmel,1650000,3.5766023744540183,561552.7089072544,304324.37747819285,1088447.2910927455,74 Davies Crescent,Gooseberry Hill,5,4,335,3961
6479,Maylands,1925000,3.574697745565291,739668.9230769231,331589.17516692943,1185331.076923077,15 Mcevoy Cove,Maylands,4,3,270,516
